P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
129,1.8127,-15773.2056,-15780.62881,14.712223,10.594808,3.186118,3.215906,3.205964,8.985351,12.349619,8.313415,922.503594,2.688679,2.360364,1.158803,1.168109,1.165013,2.195596,2.513625,2.117871,132.905,207.2,126.904
130,1.7865,-15773.15081,-15780.63343,14.555567,10.273839,3.182955,3.208237,3.201587,9.006875,12.362107,8.287134,922.722288,2.677974,2.329601,1.15781,1.165721,1.163647,2.197988,2.514636,2.114704,132.905,207.2,126.904
131,1.803,-15773.09129,-15780.62133,14.733097,10.574658,3.184073,3.215767,3.204053,8.997484,12.344376,8.296542,921.483117,2.690096,2.35846,1.158161,1.168066,1.164417,2.196945,2.513201,2.115839,132.905,207.2,126.904
132,1.7928,-15773.03525,-15780.6175,14.747213,10.507716,3.184069,3.214675,3.200766,9.011919,12.350685,8.273214,920.83669,2.691054,2.35211,1.15816,1.167726,1.16339,2.198548,2.513712,2.113023,132.905,207.2,126.904
133,1.7864,-15772.97864,-15780.61915,14.631886,10.29223,3.182558,3.206778,3.200145,9.005068,12.359736,8.274305,920.932355,2.683203,2.331389,1.157685,1.165267,1.163196,2.197788,2.514444,2.113155,132.905,207.2,126.904
134,1.788,-15772.92048,-15780.61071,14.75499,10.488451,3.1827,3.213855,3.199459,9.01376,12.347115,8.266437,920.004329,2.691581,2.350275,1.15773,1.167471,1.162982,2.198752,2.513422,2.112204,132.905,207.2,126.904
135,1.7844,-15772.86319,-15780.60859,14.717544,10.436054,3.181511,3.212289,3.198455,9.00936,12.345958,8.268867,919.739248,2.68904,2.345267,1.157356,1.166984,1.162668,2.198264,2.513329,2.112497,132.905,207.2,126.904
136,1.7866,-15772.80676,-15780.60384,14.746535,10.359007,3.181168,3.207374,3.19997,9.009548,12.350429,8.259653,919.06631,2.691008,2.337856,1.157248,1.165453,1.163141,2.198285,2.513691,2.111383,132.905,207.2,126.904
137,1.8012,-15772.74716,-15780.59228,14.890595,10.647933,3.182888,3.215075,3.200789,8.996647,12.335512,8.27173,917.982174,2.70073,2.365366,1.157789,1.167851,1.163397,2.196852,2.512482,2.112844,132.905,207.2,126.904
138,1.7881,-15772.69269,-15780.59705,14.805891,10.339839,3.180823,3.205224,3.200745,9.012108,12.350962,8.24918,918.201372,2.695025,2.336004,1.15714,1.164782,1.163384,2.198569,2.513734,2.110114,132.905,207.2,126.904
139,1.794,-15772.63407,-15780.58417,14.924442,10.590912,3.181985,3.212917,3.198873,9.007036,12.3374,8.250947,916.873361,2.703,2.359996,1.157505,1.167179,1.162799,2.198006,2.512635,2.110328,132.905,207.2,126.904
140,1.7936,-15772.57691,-15780.57958,14.947275,10.598742,3.18168,3.212683,3.198498,9.006747,12.33579,8.247495,916.340699,2.704529,2.360735,1.157409,1.167107,1.162681,2.197974,2.512505,2.10991,132.905,207.2,126.904
141,1.7926,-15772.51977,-15780.5752,14.964444,10.603703,3.181206,3.212522,3.198016,9.007059,12.333751,8.244052,915.838594,2.705677,2.361203,1.15726,1.167056,1.162531,2.198009,2.51234,2.109492,132.905,207.2,126.904
142,1.7935,-15772.46325,-15780.56865,15.04271,10.615978,3.182032,3.212027,3.197767,9.014138,12.337003,8.228104,915.026436,2.710894,2.36236,1.15752,1.166902,1.162453,2.198794,2.512603,2.107556,132.905,207.2,126.904
143,1.7965,-15772.40642,-15780.56174,15.108284,10.642828,3.182697,3.211579,3.197809,9.01466,12.338013,8.219734,914.223451,2.715243,2.364886,1.157729,1.166763,1.162466,2.198852,2.512685,2.106538,132.905,207.2,126.904
144,1.7904,-15772.34938,-15780.56048,15.067921,10.603488,3.181297,3.211017,3.196499,9.015488,12.335462,8.219392,914.08032,2.712568,2.361183,1.157289,1.166588,1.162056,2.198944,2.512478,2.106496,132.905,207.2,126.904
145,1.8,-15772.29292,-15780.54832,15.198275,10.660574,3.18337,3.209654,3.197294,9.013079,12.339854,8.206023,912.674541,2.721182,2.366552,1.15794,1.166163,1.162305,2.198677,2.512834,2.104868,132.905,207.2,126.904
146,1.7974,-15772.23745,-15780.55053,15.1303,10.425082,3.187077,3.201966,3.192698,8.998664,12.370744,8.199368,912.754985,2.716699,2.344215,1.159104,1.163765,1.160866,2.197076,2.515334,2.104057,132.905,207.2,126.904
147,1.7959,-15772.18651,-15780.53364,15.746261,9.961003,3.18412,3.200381,3.197729,9.05923,12.396624,8.105223,910.247897,2.756603,2.298678,1.158176,1.16327,1.162441,2.203784,2.517424,2.092509,132.905,207.2,126.904
148,1.7964,-15772.12983,-15780.52851,15.777009,9.967276,3.183971,3.199948,3.197588,9.059427,12.395813,8.100507,909.678584,2.758554,2.299307,1.158129,1.163134,1.162397,2.203806,2.517359,2.091927,132.905,207.2,126.904
149,1.816,-15772.07447,-15780.50513,16.268034,10.049869,3.184484,3.206516,3.202343,9.074798,12.39402,8.064319,907.020066,2.789202,2.30756,1.15829,1.165185,1.163883,2.205501,2.517214,2.087449,132.905,207.2,126.904
150,1.784,-15772.00885,-15780.54003,15.086306,10.455902,3.176489,3.203194,3.196603,9.012029,12.327721,8.206364,911.708854,2.713787,2.347167,1.155777,1.164148,1.162089,2.19856,2.51185,2.10491,132.905,207.2,126.904
151,1.787,-15771.95272,-15780.5259,15.152021,10.452258,3.178802,3.200432,3.193915,9.004301,12.337202,8.192915,910.133609,2.718134,2.346818,1.156504,1.163286,1.161248,2.197702,2.512619,2.10327,132.905,207.2,126.904
152,1.7831,-15771.89557,-15780.53252,15.118344,10.441461,3.175692,3.201625,3.196557,9.013061,12.325982,8.198969,910.863036,2.715909,2.345785,1.155526,1.163658,1.162074,2.198675,2.511709,2.104008,132.905,207.2,126.904
153,1.799,-15771.84816,-15780.49335,16.157267,9.92614,3.182452,3.202459,3.196176,9.0707,12.394457,8.056617,905.776454,2.78237,2.295172,1.157652,1.163919,1.161955,2.205049,2.517249,2.086494,132.905,207.2,126.904
154,1.8202,-15771.79173,-15780.47446,16.459445,10.14009,3.184715,3.205409,3.201727,9.082457,12.390447,8.031282,903.805869,2.800899,2.316497,1.158363,1.16484,1.16369,2.206345,2.516926,2.083344,132.905,207.2,126.904
155,1.7997,-15771.73472,-15780.48614,16.105037,9.970103,3.182355,3.198564,3.196624,9.069102,12.391314,8.05382,905.072946,2.779132,2.299591,1.157622,1.162702,1.162095,2.204873,2.516996,2.086147,132.905,207.2,126.904
156,1.8019,-15771.67921,-15780.47469,16.316638,9.937686,3.182049,3.202677,3.195831,9.073973,12.392906,8.037147,903.800499,2.792185,2.296334,1.157525,1.163987,1.161847,2.20541,2.517124,2.084074,132.905,207.2,126.904
157,1.8083,-15771.62287,-15780.46078,16.436882,10.007142,3.180756,3.202173,3.199037,9.081496,12.384078,8.023568,902.378225,2.799528,2.303299,1.157119,1.16383,1.16285,2.206239,2.516412,2.082383,132.905,207.2,126.904
158,1.7861,-15771.55697,-15780.49129,15.338756,10.491242,3.17634,3.198088,3.192934,9.009185,12.326302,8.162454,906.439926,2.730383,2.350541,1.15573,1.162553,1.16094,2.198245,2.511735,2.099545,132.905,207.2,126.904
