Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
a0.0200-c0.0150,1.690000,-15780.813117,-15780.813117,13.007015,7.166327,3.339526,3.213228,3.212778,3.339513,3.213226,3.212780,8.881407,13.156900,8.605163,1005.528676,2.565489,1.969393,1.205829,1.167276,1.167136,2.183960,2.576946,2.152362
a0.0200-c0.0200,1.671200,-15780.793494,-15780.793494,14.525544,6.321643,3.344924,3.222364,3.216328,3.344911,3.222362,3.216330,8.881407,13.224000,8.561482,1005.526620,2.675909,1.843979,1.207444,1.170115,1.168240,2.183960,2.582033,2.147273
a0.0200-c0.0250,1.655900,-15780.759644,-15780.759644,14.878234,6.141366,3.359690,3.220224,3.213525,3.359676,3.220222,3.213527,8.881407,13.291800,8.517801,1005.525456,2.699899,1.815047,1.211849,1.169451,1.167369,2.183960,2.587147,2.142158
a0.0200-c0.0300,1.645200,-15780.721384,-15780.721383,15.257670,5.951149,3.374606,3.222916,3.207994,3.374593,3.222914,3.207996,8.881407,13.360400,8.474120,1005.531896,2.725082,1.783584,1.216279,1.170286,1.165646,2.183960,2.592295,2.137017
a0.0250-c-0.0300,1.896400,-15780.907444,-15780.907444,11.765167,8.924094,3.240187,3.251217,3.256676,3.240175,3.251215,3.256678,8.836094,12.646600,8.998292,1005.528081,2.465143,2.188755,1.175631,1.179029,1.180707,2.178845,2.537388,2.197035
a0.0250-c-0.0250,1.870500,-15780.910805,-15780.910805,11.972464,8.629985,3.250528,3.247395,3.250304,3.250516,3.247394,3.250306,8.836094,12.708300,8.954611,1005.528814,2.482609,2.155243,1.178818,1.177853,1.178748,2.178845,2.542255,2.192169
a0.0250-c-0.0200,1.838100,-15780.907461,-15780.907461,12.211894,8.269191,3.260324,3.250618,3.236961,3.260312,3.250616,3.236963,8.836094,12.770600,8.910930,1005.529162,2.502410,2.112537,1.181827,1.178845,1.174635,2.178845,2.547146,2.187279
a0.0250-c-0.0150,1.808900,-15780.901593,-15780.901593,12.301583,8.093863,3.273295,3.244854,3.230076,3.273282,3.244852,3.230078,8.836094,12.833500,8.867249,1005.528428,2.509728,2.091106,1.185797,1.177070,1.172506,2.178845,2.552059,2.182365
a0.0250-c-0.0100,1.781800,-15780.891720,-15780.891720,12.388016,7.953430,3.286940,3.239258,3.223482,3.286927,3.239256,3.223484,8.836094,12.897100,8.823568,1005.533716,2.516730,2.073603,1.189957,1.175344,1.170462,2.178845,2.557002,2.177426
a0.0250-c-0.0050,1.758800,-15780.878186,-15780.878186,12.563735,7.777565,3.300048,3.233741,3.220129,3.300035,3.233739,3.220131,8.836094,12.961200,8.779887,1005.528699,2.530815,2.051243,1.193937,1.173640,1.169422,2.178845,2.561960,2.172464
a0.0250-c0.0000,1.733300,-15780.858201,-15780.858201,12.668592,7.617893,3.313869,3.228949,3.213461,3.313856,3.228947,3.213463,8.836094,13.026100,8.736206,1005.535955,2.539126,2.030500,1.198116,1.172157,1.167349,2.178845,2.566955,2.167476
a0.0250-c0.0050,1.710400,-15780.834193,-15780.834193,12.812051,7.439854,3.327549,3.223262,3.209221,3.327537,3.223260,3.209223,8.836094,13.091500,8.692525,1005.531516,2.550386,2.006851,1.202236,1.170394,1.166028,2.178845,2.571963,2.162463
a0.0250-c0.0100,1.688800,-15780.805522,-15780.805522,12.953090,7.264003,3.341512,3.217399,3.205413,3.341499,3.217397,3.205415,8.836094,13.157600,8.648844,1005.530088,2.561334,1.982931,1.206423,1.168573,1.164841,2.178845,2.577000,2.157426
a0.0250-c0.0150,1.669000,-15780.772829,-15780.772829,13.122666,7.070333,3.355456,3.210317,3.203824,3.355443,3.210315,3.203826,8.836094,13.224400,8.605163,1005.530860,2.574341,1.955908,1.210588,1.166370,1.164345,2.178845,2.582064,2.152362
a0.0250-c0.0200_new,1.646300,-15780.754081,-15780.754081,14.739203,6.103930,3.359636,3.214518,3.213377,3.359623,3.214516,3.213379,8.836094,13.291900,8.561482,1005.533021,2.690511,1.808933,1.211833,1.167677,1.167322,2.178845,2.587155,2.147273
a0.0250-c0.0250,1.636400,-15780.716687,-15780.716687,15.144287,5.903351,3.374331,3.214175,3.211580,3.374318,3.214173,3.211582,8.836094,13.360100,8.517801,1005.535762,2.717623,1.775520,1.216197,1.167571,1.166763,2.178845,2.592273,2.142158
a0.0250-c0.0300,1.622300,-15780.675054,-15780.675054,15.411126,5.791987,3.390251,3.211759,3.207946,3.390238,3.211757,3.207948,8.836094,13.428900,8.474120,1005.530783,2.735090,1.756475,1.220904,1.166819,1.165631,2.178845,2.597409,2.137017
a0.0300-c-0.0300,1.871500,-15780.897922,-15780.897922,11.946804,8.662012,3.252644,3.246097,3.250207,3.252631,3.246096,3.250208,8.790781,12.711800,8.998292,1005.528978,2.480464,2.158947,1.179468,1.177453,1.178719,2.173704,2.542531,2.197035
a0.0300-c-0.0250,1.841000,-15780.897405,-15780.897405,12.123271,8.408957,3.263844,3.241248,3.244429,3.263831,3.241246,3.244431,8.790781,12.773800,8.954611,1005.528287,2.495127,2.129297,1.182906,1.175958,1.176939,2.173704,2.547396,2.192169
a0.0300-c-0.0200,1.811200,-15780.889816,-15780.889816,12.295171,8.138147,3.275219,3.244247,3.230163,3.275206,3.244245,3.230165,8.790781,12.836400,8.910930,1005.526981,2.509207,2.096563,1.186385,1.176883,1.172533,2.173704,2.552285,2.187279
a0.0300-c-0.0150,1.783600,-15780.880467,-15780.880467,12.391552,7.985643,3.288583,3.238204,3.224096,3.288571,3.238202,3.224098,8.790781,12.899700,8.867249,1005.532165,2.517015,2.077645,1.190457,1.175019,1.170653,2.173704,2.557204,2.182365
a0.0300-c-0.0100,1.758200,-15780.867494,-15780.867494,12.533132,7.819643,3.301822,3.230567,3.221312,3.301810,3.230566,3.221314,8.790781,12.963500,8.823568,1005.527519,2.528376,2.056639,1.194475,1.172658,1.169789,2.173704,2.562138,2.177426
a0.0300-c-0.0050,1.734900,-15780.848862,-15780.848862,12.710098,7.629718,3.314961,3.225144,3.217481,3.314948,3.225143,3.217483,8.790781,13.028000,8.779887,1005.527903,2.542397,2.032051,1.198446,1.170978,1.168599,2.173704,2.567101,2.172464
a0.0300-c0.0000,1.711800,-15780.825885,-15780.825885,12.908054,7.414298,3.328000,3.216805,3.216988,3.327987,3.216803,3.216990,8.790781,13.093200,8.736206,1005.532511,2.557851,2.003410,1.202371,1.168388,1.168445,2.173704,2.572093,2.167476
a0.0300-c0.0050,1.688700,-15780.796772,-15780.796772,12.968138,7.303906,3.342848,3.216912,3.204654,3.342835,3.216910,3.204656,8.790781,13.158900,8.692525,1005.525253,2.562495,1.988409,1.206823,1.168422,1.164604,2.173704,2.577098,2.162463
a0.0300-c0.0100,1.667400,-15780.765318,-15780.765318,13.147367,7.108610,3.356657,3.209745,3.202799,3.356644,3.209743,3.202801,8.790781,13.225400,8.648844,1005.528364,2.576222,1.961307,1.210946,1.166192,1.164025,2.173704,2.582139,2.157426
a0.0300-c0.0150,1.644800,-15780.746762,-15780.746762,14.807461,5.985514,3.358781,3.219697,3.208748,3.358768,3.219695,3.208750,8.790781,13.292500,8.605163,1005.525791,2.695131,1.789342,1.211578,1.169287,1.165881,2.173704,2.587200,2.152362
a0.0300-c0.0200,1.627600,-15780.710339,-15780.710339,15.135445,5.818172,3.373820,3.219754,3.202182,3.373807,3.219752,3.202184,8.790781,13.360400,8.561482,1005.531896,2.717039,1.760986,1.216046,1.169305,1.163832,2.173704,2.592295,2.147273
